ID;KOMNR;GARDSNR;BRUKSNR;FESTENR;BRUKSNAVN;JORDBRUKSAREAL;ANNETAREAL;SKOGAREAL;FULLDYRKET;OVERFLATEDYRKET;INNMARKSBEITE
"199824";"4214";34;2;0;"LINDÅS";0.0;3.2;0.1;0.0;0.0;0.0
"106712";"4214";41;10;0;"VESTLISTYKKET";0.0;0.5;26.7;0.0;0.0;0.0
"201731";"4214";52;3;0;"Muserå";28.8;168.4;826.6;28.8;0.0;0.0
"182954";"4214";52;13;0;"KNUTSTØL";12.7;15.0;33.9;0.0;3.3;9.4
"161503";"3418";208;125;0;"LINDSTAD";10.7;3.2;0.8;10.7;0.0;0.0
"9271";"3418";208;128;0;"SKOG";0.0;12.4;150.7;0.0;0.0;0.0
"229103";"3420";84;7;0;"SØSETERSVEEN";0.0;0.0;3.9;0.0;0.0;0.0
"182499";"1806";11;2;0;"FJELDAL";3.8;165.0;209.4;3.8;0.0;0.0
"201733";"4214";52;44;0;"ØYNES";7.6;4.5;2.9;7.6;0.0;0.0
"136083";"4214";82;15;0;"NORBAKKEN";4.4;5.2;37.1;4.4;0.0;0.0
"201738";"4214";89;2;0;"STOREMYR";5.2;7.5;3.3;5.2;0.0;0.0
"201708";"4215";73;1;0;"RANDVIKDALEN";7.5;16.3;62.7;4.2;0.0;3.3
"128227";"4215";95;1;0;"BLIKSUND";0.0;37.0;45.3;0.0;0.0;0.0
"131844";"4216";4;38;0;;0.1;1.2;0.6;0.1;0.0;0.0
"131802";"4216";38;21;0;"SKOGLY";8.0;1.6;0.2;4.4;0.0;3.6
"131848";"4216";72;13;0;"NORDHAUGEGRA";0.0;4.2;3.0;0.0;0.0;0.0
"131849";"4216";88;41;0;"NYGAARD";0.0;24.8;0.0;0.0;0.0;0.0
"131855";"4216";168;10;0;"AASEN";0.0;0.0;1.3;0.0;0.0;0.0
"196995";"4217";20;31;0;"SØVEI";3.1;1.0;2.1;0.3;0.0;2.8
"201676";"4217";23;26;0;"MITTUN";1.3;0.8;0.2;1.3;0.0;0.0
"198801";"4217";25;34;0;"BRUHEIM";2.7;2.8;0.6;2.7;0.0;0.0
"92916";"3420";84;15;0;"HALSTENSRUD";45.7;95.1;740.4;42.4;0.0;3.3
"201683";"4217";43;60;0;"ØVRE LIANE";7.4;3.5;8.5;7.4;0.0;0.0
"201684";"4217";43;76;0;"GRANLID";3.1;14.1;7.0;3.1;0.0;0.0
"201691";"4217";65;58;0;"DØLEMO";2.7;0.5;0.0;2.7;0.0;0.0
"201694";"4219";1;36;0;"HAUGEMOEN";6.2;2.9;0.5;6.2;0.0;0.0
"149227";"4219";7;11;0;"JORTVEITMOEN";0.6;3.4;74.1;0.6;0.0;0.0
"131803";"4219";15;32;0;"HALLAND";7.0;1.8;1.5;7.0;0.0;0.0
"201697";"4219";15;67;0;"AASTUN";1.7;1.7;0.0;1.7;0.0;0.0
"150279";"4219";17;60;0;;9.5;3.1;3.9;9.5;0.0;0.0
"201699";"4219";19;14;0;"SKREPPEBRÅTEN";0.0;1416.0;210.4;0.0;0.0;0.0
"144939";"3420";84;18;0;"NØTÅSEN NORDRE SKOG";0.0;40.2;214.5;0.0;0.0;0.0
"144940";"3420";84;19;0;"NØTAASEN SØNDRE";157.6;60.3;1021.6;116.3;7.9;33.4
"33785";"4617";186;97;0;"GRANLI";0.0;1.2;0.0;0.0;0.0;0.0
