orgnr;komnr;bygg_for_kg;bygg_sakorn_kg;erter_for_kg;erter_sakorn_kg;havre_for_kg;havre_sakorn_kg;hvete_for_kg;hvete_mat_kg;hvete_sakorn_kg;oljefro_kg;oljefro_sakorn_kg;rug_for_kg;rug_mat_kg;rug_sakorn_kg;rughvete_for_kg;rughvete_sakorn_kg
869327832;3819;3416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
869328502;3816;0;0;0;0;94901;0;0;0;0;0;0;0;0;0;0;0
869336912;3427;16611;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
869337412;3021;36266;0;0;0;39421;0;81748;0;0;11215;0;0;0;0;0;0
869337722;3035;37091;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
869338222;3019;11096;0;0;0;13081;0;0;0;0;0;0;0;0;0;0;0
869346942;3018;0;0;0;0;23703;0;1659;0;0;0;0;0;0;0;0;0
869348392;3047;0;0;0;0;15946;0;7257;0;0;0;0;0;0;0;0;0
869349372;3025;0;0;0;0;0;0;15786;0;0;0;0;0;0;0;0;0
869349402;3025;0;0;0;0;5821;0;0;0;0;0;0;0;0;0;0;0
869350842;3805;61497;0;0;0;0;0;22281;0;0;0;0;0;0;0;0;0
869357642;3419;0;0;0;0;30779;0;0;0;0;0;0;0;0;0;0;0
869364282;5006;43762;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
869366072;3019;65059;0;0;0;0;0;35890;0;0;0;0;0;0;0;32365;0
869367672;3817;39091;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
869377392;5029;23421;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
869387282;3014;6582;46037;0;0;7428;84948;0;0;0;0;0;0;0;0;0;0
869387282;3118;0;0;0;0;0;0;0;64984;0;0;0;0;0;0;0;0
869388092;3007;132361;0;0;0;0;0;84050;30917;0;0;0;0;0;0;0;0
869389072;3318;0;0;0;0;39615;0;0;0;0;0;0;0;0;0;0;0
869389722;5059;29742;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
869390712;5057;110943;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
869401242;1539;17485;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
869426482;3120;0;0;0;0;0;0;44071;0;0;0;0;0;0;0;0;0
869426482;3016;60890;0;0;0;20445;0;0;0;0;0;0;0;0;0;0;0
