orgnr;komnr;hvete_mat;hvete_for;hvete_sakorn;rug_mat;rug_for;rug_sakorn;bygg;bygg_sakorn;havre;havre_sakorn;rughvete;rughvete_sakorn;erter;erter_sakorn;oljefro;oljefro_sakorn
928875059;5038;0;0;0;0;0;0;68641;0;0;0;0;0;0;0;0;0
929309995;5047;0;0;0;0;0;0;62978;0;0;0;0;0;0;0;0;0
929342658;3901;0;0;0;0;0;0;0;0;7860;0;0;0;0;0;0;0
929413636;3909;0;0;0;113783;38261;0;0;0;33129;0;0;0;0;0;0;0
929604865;3112;69624;40379;0;0;0;0;0;0;0;0;0;0;0;0;39108;0
929619641;3411;0;32842;0;0;0;0;85414;0;0;0;0;0;0;0;0;0
929915577;3216;0;7188;0;0;0;0;0;0;0;0;0;0;0;0;0;0
929928822;5006;0;0;0;0;0;0;25462;0;0;0;0;0;0;0;0;0
930028754;1120;0;17118;0;0;0;0;34327;0;0;0;0;0;0;0;0;0
930225568;5037;0;0;0;0;0;0;249079;0;0;0;0;0;0;0;0;0
930309230;3411;0;0;0;0;0;0;23346;0;15361;0;0;0;0;0;0;0
930388459;3305;0;0;0;0;0;0;0;0;52592;0;0;0;0;0;0;0
930495832;4203;0;0;0;0;0;0;0;0;32617;0;0;0;0;0;0;0
930570834;3224;40280;15844;0;0;0;0;0;0;53134;0;0;0;0;0;0;0
930615757;3448;0;0;0;0;0;0;0;0;85163;0;0;0;0;0;0;0
930661724;3101;0;0;0;0;0;0;62732;0;33062;0;0;0;28617;0;0;0
930683132;1120;0;42902;0;0;0;0;59466;0;75460;0;0;0;0;0;0;0
930688096;5001;0;0;0;0;0;0;9338;0;0;0;0;0;0;0;0;0
930708631;3405;0;0;0;0;0;0;35950;0;54739;0;0;0;0;0;0;0
930732885;3122;0;0;0;0;0;0;38792;0;0;0;0;0;0;0;0;0
930805882;3238;0;0;0;0;0;0;96633;0;2057;0;0;0;0;0;0;0
